,Survived,Pclass,Sex,SibSp,Parch,Fare,Embarked_Q,Embarked_S,Title_Miss,Title_Mr,Title_Mrs,Title_Rare,age_group_10-20,age_group_20-30,age_group_30-40,age_group_40-50,age_group_50-60,age_group_60-70,age_group_70+,"FareBin_(7.854, 10.5]","FareBin_(10.5, 21.679]","FareBin_(21.679, 39.688]","FareBin_(39.688, 512.329]"
87,0,3,0,0,0,8.05,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
88,1,1,1,3,2,263.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
89,0,3,0,0,0,8.05,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
90,0,3,0,0,0,8.05,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
91,0,3,0,0,0,7.8542,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
92,0,1,0,1,0,61.175,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
93,0,3,0,1,2,20.575,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
94,0,3,0,0,0,7.25,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
95,0,3,0,0,0,8.05,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
96,0,1,0,0,0,34.6542,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
97,1,1,0,0,1,63.3583,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
98,1,2,1,0,1,23.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
99,0,2,0,1,0,26.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
100,0,3,1,0,0,7.8958,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
101,0,3,0,0,0,7.8958,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
102,0,1,0,0,1,77.2875,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
103,0,3,0,0,0,8.6542,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
104,0,3,0,2,0,7.925,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
105,0,3,0,0,0,7.8958,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
106,1,3,1,0,0,7.65,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
107,1,3,0,0,0,7.775,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
108,0,3,0,0,0,7.8958,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
109,1,3,1,1,0,24.15,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
110,0,1,0,0,0,52.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
111,0,3,1,1,0,14.4542,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
112,0,3,0,0,0,8.05,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
113,0,3,1,1,0,9.825,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
114,0,3,1,0,0,14.4583,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
115,0,3,0,0,0,7.925,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
116,0,3,0,0,0,7.75,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
117,0,2,0,1,0,21.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
118,0,1,0,0,1,247.5208,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
119,0,3,1,4,2,31.275,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
120,0,2,0,2,0,73.5,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
121,0,3,0,0,0,8.05,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
122,0,2,0,1,0,30.0708,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
123,1,2,1,0,0,13.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
124,0,1,0,0,1,77.2875,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
125,1,3,0,1,0,11.2417,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
126,0,3,0,0,0,7.75,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
127,1,3,0,0,0,7.1417,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
128,1,3,1,1,1,22.3583,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
129,0,3,0,0,0,6.975,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
130,0,3,0,0,0,7.8958,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
131,0,3,0,0,0,7.05,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
132,0,3,1,1,0,14.5,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
133,1,2,1,1,0,26.0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
134,0,2,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
135,0,2,0,0,0,15.0458,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
136,1,1,1,0,2,26.2833,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
137,0,1,0,1,0,53.1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
138,0,3,0,0,0,9.2167,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
139,0,1,0,0,0,79.2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
140,0,3,1,0,2,15.2458,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
141,1,3,1,0,0,7.75,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
142,1,3,1,1,0,15.85,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
143,0,3,0,0,0,6.75,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
144,0,2,0,0,0,11.5,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
145,0,2,0,1,1,36.75,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
146,1,3,0,0,0,7.7958,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
147,0,3,1,2,2,34.375,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
148,0,2,0,0,2,26.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
149,0,2,0,0,0,13.0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
150,0,2,0,0,0,12.525,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
151,1,1,1,1,0,66.6,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
152,0,3,0,0,0,8.05,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
153,0,3,0,0,2,14.5,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
154,0,3,0,0,0,7.3125,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
155,0,1,0,0,1,61.3792,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
156,1,3,1,0,0,7.7333,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
157,0,3,0,0,0,8.05,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
158,0,3,0,0,0,8.6625,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
159,0,3,0,8,2,69.55,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
160,0,3,0,0,1,16.1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
161,1,2,1,0,0,15.75,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
162,0,3,0,0,0,7.775,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
163,0,3,0,0,0,8.6625,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
164,0,3,0,4,1,39.6875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
165,1,3,0,0,2,20.525,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
166,1,1,1,0,1,55.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
167,0,3,1,1,4,27.9,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
168,0,1,0,0,0,25.925,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
169,0,3,0,0,0,56.4958,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1
170,0,1,0,0,0,33.5,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
171,0,3,0,4,1,29.125,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
172,1,3,1,1,1,11.1333,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
173,0,3,0,0,0,7.925,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
174,0,1,0,0,0,30.6958,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
175,0,3,0,1,1,7.8542,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
176,0,3,0,3,1,25.4667,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
177,0,1,1,0,0,28.7125,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
178,0,2,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
179,0,3,0,0,0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
180,0,3,1,8,2,69.55,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
181,0,2,0,0,0,15.05,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
182,0,3,0,4,2,31.3875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
183,1,2,0,2,1,39.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
184,1,3,1,0,2,22.025,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
185,0,1,0,0,0,50.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
186,1,3,1,1,0,15.5,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
187,1,1,0,0,0,26.55,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
188,0,3,0,1,1,15.5,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
189,0,3,0,0,0,7.8958,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
190,1,2,1,0,0,13.0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0
191,0,2,0,0,0,13.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
192,1,3,1,1,0,7.8542,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
193,1,2,0,1,1,26.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
194,1,1,1,0,0,27.7208,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
195,1,1,1,0,0,146.5208,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
196,0,3,0,0,0,7.75,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
197,0,3,0,0,1,8.4042,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
198,1,3,1,0,0,7.75,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
199,0,2,1,0,0,13.0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
200,0,3,0,0,0,9.5,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
201,0,3,0,8,2,69.55,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
202,0,3,0,0,0,6.4958,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
203,0,3,0,0,0,7.225,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
204,1,3,0,0,0,8.05,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
205,0,3,1,0,1,10.4625,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
206,0,3,0,1,0,15.85,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
207,1,3,0,0,0,18.7875,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
208,1,3,1,0,0,7.75,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
209,1,1,0,0,0,31.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
210,0,3,0,0,0,7.05,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
211,1,2,1,0,0,21.0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
212,0,3,0,0,0,7.25,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
213,0,2,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
214,0,3,0,1,0,7.75,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
215,1,1,1,1,0,113.275,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
216,1,3,1,0,0,7.925,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
217,0,2,0,1,0,27.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
218,1,1,1,0,0,76.2917,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
219,0,2,0,0,0,10.5,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
220,1,3,0,0,0,8.05,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
221,0,2,0,0,0,13.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
222,0,3,0,0,0,8.05,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
223,0,3,0,0,0,7.8958,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
224,1,1,0,1,0,90.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
225,0,3,0,0,0,9.35,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
226,1,2,0,0,0,10.5,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
227,0,3,0,0,0,7.25,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
228,0,2,0,0,0,13.0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
229,0,3,1,3,1,25.4667,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
230,1,1,1,1,0,83.475,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1
231,0,3,0,0,0,7.775,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
232,0,2,0,0,0,13.5,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
233,1,3,1,4,2,31.3875,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
234,0,2,0,0,0,10.5,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
235,0,3,1,0,0,7.55,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
236,0,2,0,1,0,26.0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
237,1,2,1,0,2,26.25,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
238,0,2,0,0,0,10.5,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
239,0,2,0,0,0,12.275,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
240,0,3,1,1,0,14.4542,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
241,1,3,1,1,0,15.5,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
242,0,2,0,0,0,10.5,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
243,0,3,0,0,0,7.125,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
244,0,3,0,0,0,7.225,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
245,0,1,0,2,0,90.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
246,0,3,1,0,0,7.775,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
247,1,2,1,0,2,14.5,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
248,1,1,0,1,1,52.5542,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
249,0,2,0,1,0,26.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0
250,0,3,0,0,0,7.25,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
251,0,3,1,1,1,10.4625,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0
252,0,1,0,0,0,26.55,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
253,0,3,0,1,0,16.1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
254,0,3,1,0,2,20.2125,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
255,1,3,1,0,2,15.2458,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
256,1,1,1,0,0,79.2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
257,1,1,1,0,0,86.5,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
258,1,1,1,0,0,512.3292,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
259,1,2,1,0,1,26.0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
260,0,3,0,0,0,7.75,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
261,1,3,0,4,2,31.3875,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
262,0,1,0,1,1,79.65,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
263,0,1,0,0,0,0.0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
264,0,3,1,0,0,7.75,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
265,0,2,0,0,0,10.5,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
266,0,3,0,4,1,39.6875,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
267,1,3,0,1,0,7.775,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
268,1,1,1,0,1,153.4625,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
269,1,1,1,0,0,135.6333,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
